type,problemsize,cputime,memoryusage
Basic,16,0.000011,8192.000000
Efficient,16,0.000010,8192.000000
Basic,64,0.000007,4096.000000
Efficient,64,0.000014,8192.000000
Basic,256,0.000011,4096.000000
Efficient,256,0.000027,12288.000000
Basic,1024,0.000019,8192.000000
Efficient,1024,0.000067,12288.000000
Basic,4096,0.000063,36864.000000
Efficient,4096,0.000105,12288.000000
Basic,16384,0.000225,217088.000000
Efficient,16384,0.000364,36864.000000
Basic,65536,0.000913,675840.000000
Efficient,65536,0.001167,61440.000000
Basic,262144,0.003271,2400256.000000
Efficient,262144,0.004177,98304.000000
Basic,1048576,0.010936,8998912.000000
Efficient,1048576,0.013414,155648.000000
Basic,4194304,0.052167,34881536.000000
Efficient,4194304,0.048514,135168.000000
Basic,16777216,0.165032,151760896.000000
Efficient,16777216,0.162015,299008.000000
Basic,67108864,0.632341,571908096.000000
Efficient,67108864,0.660350,925696.000000
Basic,268435456,2.320391,2217476096.000000
Efficient,268435456,2.401271,1572864.000000
Basic,1073741824,13.655741,8230400000.000000
Efficient,1073741824,10.345594,2764800.000000
Basic,524288,0.008127,4808704.000000
Efficient,524288,0.005775,61440.000000
Basic,65536,0.000733,585728.000000
Efficient,65536,0.001070,53248.000000
Basic,4096,0.000051,36864.000000
Efficient,4096,0.000107,12288.000000
Basic,2048,0.000052,20480.000000
Efficient,2048,0.000076,12288.000000
